width,height,iter,time
128,64,5,0.18139999999999998
128,128,5,0.3422
256,128,5,0.34509999999999996
256,256,5,0.29519999999999996
512,256,5,0.44279999999999997
512,512,5,0.33199999999999996
1024,512,5,0.5001
1024,1024,5,1.1512
2048,1024,5,1.3778
2048,2048,5,2.5462
4096,2048,5,4.6434999999999995
4096,4096,5,9.0608
8192,4096,5,17.726499999999998
8192,8192,5,35.0365
16384,8192,5,67.3073
16384,16384,5,126.643
32768,16384,5,221.84
32768,32768,5,446.82599999999996
65536,32768,5,896.29
