width,height,iter,time
4,2,5,0.1842
4,4,5,0.5405
8,4,5,0.3111
8,8,5,0.1913
16,8,5,0.43539999999999995
16,16,5,0.3059
32,16,5,0.3263
32,32,5,0.26999999999999996
64,32,5,0.29209999999999997
64,64,5,0.2074
128,64,5,0.2572
128,128,5,0.3848
256,128,5,0.5650999999999999
256,256,5,0.40499999999999997
512,256,5,0.6637
512,512,5,0.8725999999999999
1024,512,5,1.3844999999999998
1024,1024,5,2.6107
2048,1024,5,5.0443
2048,2048,5,10.377099999999999
4096,2048,5,19.6203
