width,height,iter,time
128,64,5,0.7858999999999999
128,128,5,1.5173999999999999
256,128,5,3.1229999999999998
256,256,5,6.502599999999999
512,256,5,12.4245
512,512,5,24.8528
1024,512,5,50.1194
1024,1024,5,98.6275
2048,1024,5,205.73999999999998
2048,2048,5,394.39
4096,2048,5,795.757
4096,4096,5,1573.3899999999999
8192,4096,5,3177.5299999999997
8192,8192,5,6297.8099999999995
16384,8192,5,12802.3
16384,16384,5,25320.0
32768,16384,5,50756.399999999994
32768,32768,5,100214.0
65536,32768,5,194356.0
65536,65536,5,362017.0
