width,height,iter,time
4,2,5,0.001
4,4,5,0.0018
8,4,5,0.0029
8,8,5,0.006699999999999999
16,8,5,0.0127
16,16,5,0.029099999999999997
32,16,5,0.049499999999999995
32,32,5,0.0943
64,32,5,0.1949
64,64,5,0.3858
128,64,5,0.8258
128,128,5,1.5543
256,128,5,3.1115999999999997
256,256,5,6.153099999999999
512,256,5,12.3471
512,512,5,24.6171
1024,512,5,51.3217
1024,1024,5,98.9713
2048,1024,5,211.48399999999998
2048,2048,5,400.33099999999996
4096,2048,5,794.4639999999999
4096,4096,5,1623.08
